"","RMS.CDW.ID","General.Offense.Number","Offense.Code","Offense.Code.Extension","Offense.Type","Summary.Offense.Code","Summarized.Offense.Description","Date.Reported","Occurred.Date.or.Date.Range.Start","Occurred.Date.Range.End","Hundred.Block.Location","District.Sector","Zone.Beat","Census.Tract.2000","Longitude","Latitude","Location","Month","Year"
"123630",1455762,201082363,"5707",0,"TRESPASS","5700","TRESPASS","03/12/2010 07:56:00 PM","03/12/2010 07:56:00 PM","","21XX BLOCK OF 1 AV","D","D1","8002.1005",-122.344566345,47.612220764,"(47.612220764, -122.344566345)",3,2010
"934824",981498,2016245719,"2202",0,"BURGLARY-FORCE-RES","2200","BURGLARY","07/09/2016 02:48:00 PM","07/09/2016 01:00:00 AM","","9XX BLOCK OF N 103 ST","N","N3","1300.2013",-122.34602356,47.703605652,"(47.703605652, -122.34602356)",7,2016
"356023",1316444,2017413703,"1305",0,"ASSLT-AGG-WEAPON","1300","ASSAULT","11/07/2017 06:10:00 PM","11/07/2017 06:08:00 PM","","45XX BLOCK OF LEARY WY NW","B","B2","4700.2070",-122.367515564,47.661830902,"(47.661830902, -122.367515564)",11,2017
"655758",1363342,201823647,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","01/20/2018 12:01:00 AM","01/19/2018 09:57:00 PM","","2 AV N / MERCER ST","Q","Q3","7100.2001",-122.352798462,47.624572754,"(47.624572754, -122.352798462)",1,2018
"205232",1497875,2009247258,"1206",0,"ROBBERY-STREET-BODYFORCE","1200","ROBBERY","07/16/2009 02:59:00 AM","07/16/2009 02:59:00 AM","","W KINNEAR PL / 1 AV W","Q","Q3","7000.6009",-122.35799408,47.627723694,"(47.627723694, -122.35799408)",7,2009
"888277",920418,2012293684,"2399",3,"THEFT-OTH","2300","OTHER PROPERTY","09/01/2012 03:48:00 PM","08/24/2012 04:00:00 PM","","20XX BLOCK OF W GARFIELD ST","Q","Q1","5802.3044",-122.37979126,47.633243561,"(47.633243561, -122.37979126)",9,2012
"830859",850531,2013362156,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","10/05/2013 11:07:00 AM","10/05/2013 11:07:00 AM","","18XX BLOCK OF THORNDYKE AV W","Q","Q1","5600.5034",-122.390151978,47.635509491,"(47.635509491, -122.390151978)",10,2013
"1011490",1216305,2017905445,"2399",1,"THEFT-BICYCLE","2300","BIKE THEFT","06/19/2017 07:55:00 PM","06/17/2017 10:00:00 PM","06/17/2017 11:00:00 PM","50XX BLOCK OF 11 AV NE","U","U1","4400.4005",-122.316322327,47.665683746,"(47.665683746, -122.316322327)",6,2017
"977769",1104955,20171350,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","01/02/2017 09:08:00 AM","12/23/2016 01:00:00 PM","01/02/2017 09:00:00 AM","25XX BLOCK OF 1 AV W","Q","Q2","6000.3008",-122.35823822,47.642333984,"(47.642333984, -122.35823822)",1,2017
"66768",1433536,2010261510,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","07/29/2010 06:51:00 AM","07/29/2010 01:00:00 AM","07/29/2010 06:00:00 AM","23XX BLOCK OF FRANKLIN AV E","D","D3","6100.4014",-122.324661255,47.64087677,"(47.64087677, -122.324661255)",7,2010
"512674",394282,2008431141,"2303",0,"THEFT-SHOPLIFT","2300","SHOPLIFTING","11/17/2008 08:12:00 AM","11/17/2008 07:30:00 AM","","11XX BLOCK OF MADISON ST","E","E3","8300.1005",-122.324583882,47.609570177,"(47.609570177, -122.324583882)",11,2008
"899622",937557,2012191461,"2303",0,"THEFT-SHOPLIFT","2300","SHOPLIFTING","06/19/2012 01:21:00 AM","06/19/2012 12:17:00 AM","","99XX BLOCK OF HOLMAN RD NW","N","N1","1400.3010",-122.362731934,47.701393127,"(47.701393127, -122.362731934)",6,2012
"155555",1182334,2017138013,"1201",2,"ROBBERY-BUSINESS-GUN","1200","ROBBERY","04/20/2017 05:43:00 PM","04/20/2017 05:43:00 PM","","6XX BLOCK OF 1 AV","K","K1","8100.1036",-122.33417511,47.602149963,"(47.602149963, -122.33417511)",4,2017
"1016517",1229154,2017240484,"2903",0,"PROPERTY DAMAGE-NON RESIDENTIA","2900","PROPERTY DAMAGE","07/03/2017 06:44:00 PM","06/29/2017 10:00:00 PM","06/30/2017 07:30:00 AM","40XX BLOCK OF MIDVALE AV N","B","B3","5400.4001",-122.343559265,47.656013489,"(47.656013489, -122.343559265)",7,2017
"9648",1041915,2016348199,"2304",2,"THEFT-LICENSE PLATE","2300","OTHER PROPERTY","09/25/2016 02:01:00 PM","09/24/2016 03:00:00 PM","09/25/2016 08:00:00 AM","54XX BLOCK OF 40 AV SW","W","W2","10500.2015",-122.382949829,47.552947998,"(47.552947998, -122.382949829)",9,2016
"275847",1568417,2008158854,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","05/03/2008 06:32:00 PM","05/03/2008 12:00:00 AM","05/03/2008 05:00:00 PM","8XX BLOCK OF 1 AV N","Q","Q3","7000.3007",-122.355384827,47.626781464,"(47.626781464, -122.355384827)",5,2008
"299399",1264819,20174558,"2202",0,"BURGLARY-FORCE-RES","2200","BURGLARY","01/04/2017 06:22:00 PM","01/04/2017 06:22:00 PM","","40XX BLOCK OF E HIGHLAND DR","C","C3","6300.2035",-122.280654907,47.629745483,"(47.629745483, -122.280654907)",1,2017
"684273",654183,201630036,"5707",0,"TRESPASS","5700","TRESPASS","01/26/2016 05:34:00 AM","01/26/2016 05:34:00 AM","","105XX BLOCK OF AURORA AV N","N","N3","1300.2001",-122.344703674,47.705799103,"(47.705799103, -122.344703674)",1,2016
"603236",839053,2013441711,"X",47,"PROPERTY FOUND","X","STOLEN PROPERTY","12/09/2013 06:21:00 PM","12/09/2013 06:21:00 PM","","16XX BLOCK OF E HARRISON ST","C","C1","7600.3002",-122.310699463,47.622077942,"(47.622077942, -122.310699463)",12,2013
"283898",1576083,200894807,"5015",1,"WARRARR-FELONY","5000","WARRANT ARREST","03/13/2008 10:35:00 PM","03/13/2008 08:40:00 PM","","48 AV S / S CHICAGO ST","S","S2","11101.3007",-122.272651672,47.532627106,"(47.532627106, -122.272651672)",3,2008
"1035011",1288277,2017208142,"X",47,"PROPERTY FOUND","X","STOLEN PROPERTY","06/10/2017 08:21:00 AM","06/10/2017 07:24:00 AM","","6XX BLOCK OF STEWART ST","M","M2","7300.3027",-122.336585999,47.613956451,"(47.613956451, -122.336585999)",6,2017
"327239",1290278,2017363096,"5015",2,"WARRARR-MISDEMEANOR","5000","WARRANT ARREST","09/29/2017 07:26:00 PM","09/29/2017 07:26:00 PM","","N 90 ST / AURORA AV N","N","N3","1800.3010",-122.344566345,47.69418335,"(47.69418335, -122.344566345)",9,2017
"727435",703600,2015161608,"1305",0,"ASSLT-AGG-WEAPON","1300","ASSAULT","05/17/2015 01:53:00 AM","05/17/2015 01:53:00 AM","","27XX BLOCK OF RAINIER AV S","R","R2","10001.1002",-122.299156189,47.579673767,"(47.579673767, -122.299156189)",5,2015
"101118",1131096,201746108,"2501",0,"FORGERY-CHECK","2500","FORGERY","02/07/2017 01:46:00 PM","01/30/2017 03:48:00 PM","02/02/2017 04:04:00 PM","88XX BLOCK OF AURORA AV N","N","N3","1800.2003",-122.344543457,47.692558289,"(47.692558289, -122.344543457)",2,2017
"19509",1051793,2016906804,"2605",0,"FRAUD-CREDIT CARD","2600","FRAUD","10/06/2016 01:01:00 PM","09/07/2016 12:45:00 PM","09/21/2016 12:45:00 PM","17XX BLOCK OF N 103 ST","N","N3","1300.1009",-122.336593628,47.703224182,"(47.703224182, -122.336593628)",10,2016
